Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Maryland,24,2013,2013,Yes,1,No,2,4214
,Maryland,24,2013,2013,No,2,Yes,1,5026
,Maryland,24,2013,2013,No,2,No,2,61650
,Maryland,24,2014,2014,Yes,1,Yes,1,303
,Maryland,24,2014,2014,Yes,1,No,2,4775
,Maryland,24,2014,2014,No,2,Yes,1,4802
,Maryland,24,2014,2014,No,2,No,2,63291
,Maryland,24,2015,2015,Yes,1,Yes,1,317
,Maryland,24,2015,2015,Yes,1,No,2,5238
,Maryland,24,2015,2015,No,2,Yes,1,4441
,Maryland,24,2015,2015,No,2,No,2,63117
,Massachusetts,25,2012,2012,Yes,1,Yes,1,269
,Massachusetts,25,2012,2012,Yes,1,No,2,4301
,Massachusetts,25,2012,2012,No,2,Yes,1,4864
,Massachusetts,25,2012,2012,No,2,No,2,61960
,Massachusetts,25,2013,2013,Yes,1,Yes,1,281
,Massachusetts,25,2013,2013,Yes,1,No,2,4069
,Massachusetts,25,2013,2013,No,2,Yes,1,4406
,Massachusetts,25,2013,2013,No,2,No,2,61930
,Massachusetts,25,2014,2014,Yes,1,Yes,1,241
,Massachusetts,25,2014,2014,Yes,1,No,2,4137
,Massachusetts,25,2014,2014,No,2,Yes,1,4190
,Massachusetts,25,2014,2014,No,2,No,2,62258
,Massachusetts,25,2015,2015,Yes,1,Yes,1,277
,Massachusetts,25,2015,2015,Yes,1,No,2,4600
,Massachusetts,25,2015,2015,No,2,Yes,1,3775
,Massachusetts,25,2015,2015,No,2,No,2,62650
,Michigan,26,2014,2014,Yes,1,Yes,1,828
,Michigan,26,2014,2014,Yes,1,No,2,5666
,Michigan,26,2014,2014,No,2,Yes,1,14240
,Michigan,26,2014,2014,No,2,No,2,92384
,Michigan,26,2015,2015,Yes,1,Yes,1,790
,Michigan,26,2015,2015,Yes,1,No,2,5822
,Michigan,26,2015,2015,No,2,Yes,1,13012
,Michigan,26,2015,2015,No,2,No,2,92280
,Minnesota,27,2012,2012,Yes,1,Yes,1,593
,Minnesota,27,2012,2012,Yes,1,No,2,4324
,Minnesota,27,2012,2012,No,2,Yes,1,7160
,Minnesota,27,2012,2012,No,2,No,2,56087
,Minnesota,27,2013,2013,Yes,1,Yes,1,586
,Minnesota,27,2013,2013,Yes,1,No,2,4520
,Minnesota,27,2013,2013,No,2,Yes,1,6717
,Minnesota,27,2013,2013,No,2,No,2,56701
,Minnesota,27,2014,2014,Yes,1,Yes,1,509
,Minnesota,27,2014,2014,Yes,1,No,2,4511
,Minnesota,27,2014,2014,No,2,Yes,1,6253
,Minnesota,27,2014,2014,No,2,No,2,57927
,Minnesota,27,2015,2015,Yes,1,Yes,1,478
,Minnesota,27,2015,2015,Yes,1,No,2,4559
,Minnesota,27,2015,2015,No,2,Yes,1,6006
,Minnesota,27,2015,2015,No,2,No,2,58134
,Mississippi,28,2013,2013,Yes,1,Yes,1,213
,Mississippi,28,2013,2013,Yes,1,No,2,1610
,Mississippi,28,2013,2013,No,2,Yes,1,4068
,Mississippi,28,2013,2013,No,2,No,2,32426
,Mississippi,28,2014,2014,Yes,1,Yes,1,205
